iter	Passed	Remaining
0	55	55379
1	55	27809
2	56	18709
3	56	14083
4	56	11308
5	57	9456
6	57	8127
7	57	7130
8	57	6356
9	57	5740
10	58	5231
11	58	4807
12	58	4450
13	58	4144
14	59	3878
15	59	3646
16	59	3440
17	59	3261
18	60	3108
19	60	2962
20	60	2828
21	60	2706
22	61	2596
23	61	2494
24	61	2400
25	61	2314
26	61	2234
27	62	2159
28	62	2091
29	62	2029
30	63	1969
31	63	1912
32	63	1858
33	63	1808
34	63	1761
35	64	1716
36	64	1674
37	64	1634
38	64	1595
39	64	1559
40	65	1524
41	65	1491
42	65	1460
43	65	1430
44	66	1402
45	66	1374
46	66	1348
47	66	1323
48	66	1299
49	67	1276
50	67	1253
51	67	1232
52	67	1211
53	68	1192
54	68	1172
55	68	1154
56	68	1137
57	68	1120
58	69	1103
59	69	1088
60	69	1072
61	69	1057
62	70	1043
63	70	1029
64	70	1016
65	70	1004
66	71	991
67	71	979
68	71	966
69	71	955
70	72	944
71	72	934
72	72	923
73	72	913
74	73	903
75	73	892
76	73	882
77	73	873
78	74	863
79	74	854
80	74	845
81	74	836
82	74	826
83	75	818
84	75	810
85	75	801
86	75	793
87	75	786
88	76	778
89	76	771
90	76	764
91	76	757
92	76	750
93	77	744
94	77	737
95	77	730
96	77	724
97	78	718
98	78	712
99	78	706
100	78	701
101	79	696
102	79	690
103	79	685
104	79	679
105	79	674
106	80	669
107	80	664
108	80	659
109	80	654
110	81	650
111	81	645
112	81	640
113	81	636
114	82	631
115	82	626
116	82	621
117	82	617
118	82	613
119	83	608
120	83	604
121	83	599
122	83	595
123	83	591
124	83	587
125	84	584
126	84	579
127	84	575
128	84	572
129	84	568
130	85	565
131	85	561
132	85	558
133	85	554
134	86	551
135	86	548
136	86	545
137	86	542
138	87	539
139	87	536
140	87	533
141	87	529
142	87	526
143	88	523
144	88	520
145	88	517
146	88	514
147	88	511
148	89	509
149	89	506
150	89	503
151	89	501
152	90	498
153	90	496
154	90	493
155	90	491
156	90	488
157	91	486
158	91	483
159	91	481
160	91	478
161	91	475
162	92	473
163	92	470
164	92	468
165	92	466
166	93	464
167	93	461
168	93	459
169	93	457
170	94	455
171	94	453
172	94	451
173	94	449
174	94	447
175	95	445
176	95	443
177	95	441
178	95	439
179	96	438
180	96	436
181	96	434
182	96	432
183	97	430
184	97	428
185	97	426
186	97	425
187	98	423
188	98	421
189	98	419
190	98	417
191	98	416
192	99	414
193	99	412
194	99	411
195	99	409
196	100	408
197	100	406
198	100	405
199	100	403
200	101	402
201	101	401
202	101	400
203	102	398
204	102	397
205	102	395
206	103	395
207	103	394
208	103	392
209	103	390
210	104	389
211	104	387
212	104	386
213	104	384
214	104	383
215	105	381
216	105	380
217	105	378
218	105	377
219	106	376
220	106	374
221	106	373
222	106	371
223	106	370
224	107	369
225	107	367
226	107	366
227	107	365
228	108	364
229	108	363
230	108	361
231	108	360
232	109	359
233	109	358
234	109	356
235	109	355
236	110	354
237	110	353
238	110	351
239	110	350
240	110	349
241	111	348
242	111	347
243	111	345
244	111	344
245	112	343
246	112	342
247	112	341
248	112	340
249	113	339
250	113	338
251	113	337
252	113	335
253	113	334
254	114	333
255	114	332
256	114	331
257	114	330
258	115	329
259	115	327
260	115	327
261	115	326
262	116	325
263	116	324
264	116	323
265	116	322
266	117	321
267	117	320
268	117	319
269	117	318
270	118	317
271	118	316
272	118	315
273	118	314
274	119	313
275	119	312
276	119	311
277	119	310
278	119	309
279	120	309
280	120	308
281	120	307
282	120	306
283	121	305
284	121	304
285	121	303
286	121	302
287	122	302
288	122	301
289	122	300
290	122	299
291	123	298
292	123	297
293	123	296
294	123	295
295	124	295
296	124	294
297	124	293
298	124	292
299	125	291
300	125	290
301	125	290
302	125	289
303	125	288
304	126	287
305	126	286
306	126	285
307	126	284
308	127	284
309	127	283
310	127	282
311	127	281
312	127	280
313	128	280
314	128	279
315	128	278
316	128	277
317	129	276
318	129	275
319	129	275
320	129	274
321	129	273
322	130	273
323	130	272
324	130	271
325	131	270
326	131	270
327	131	269
328	131	268
329	131	267
330	132	267
331	132	266
332	132	265
333	132	265
334	133	264
335	133	264
336	133	263
337	134	262
338	134	262
339	134	261
340	135	261
341	135	260
342	135	260
343	136	259
344	136	258
345	136	258
346	136	257
347	136	256
348	137	255
349	137	255
350	137	254
351	137	253
352	138	253
353	138	252
354	138	251
355	138	251
356	139	250
357	139	249
358	139	249
359	139	248
360	139	247
361	140	247
362	140	246
363	140	245
364	140	245
365	141	244
366	141	243
367	141	243
368	141	242
369	142	241
370	142	241
371	142	240
372	142	239
373	142	239
374	143	238
375	143	237
376	143	237
377	143	236
378	144	236
379	144	235
380	144	235
381	144	234
382	145	233
383	145	233
384	145	232
385	145	231
386	146	231
387	146	230
388	146	230
389	146	229
390	147	229
391	147	228
392	147	228
393	147	227
394	148	226
395	148	226
396	148	225
397	148	225
398	149	224
399	149	224
400	149	223
401	150	223
402	150	222
403	150	222
404	151	222
405	151	222
406	152	221
407	152	221
408	152	220
409	153	220
410	153	219
411	153	219
412	153	218
413	154	218
414	154	217
415	154	217
416	155	216
417	155	216
418	155	215
419	155	215
420	155	214
421	156	213
422	156	213
423	156	212
424	156	212
425	157	211
426	157	210
427	157	210
428	157	209
429	157	209
430	158	208
431	158	208
432	158	207
433	158	206
434	158	206
435	159	205
436	159	205
437	159	204
438	159	204
439	160	203
440	160	203
441	160	202
442	160	202
443	161	201
444	161	201
445	161	200
446	161	200
447	162	199
448	162	199
449	162	198
450	162	198
451	163	197
452	163	197
453	163	196
454	163	196
455	164	196
456	164	195
457	164	195
458	165	194
459	165	194
460	165	193
461	165	193
462	166	192
463	166	192
464	166	191
465	167	191
466	167	190
467	167	190
468	167	189
469	168	189
470	168	189
471	168	188
472	168	188
473	169	187
474	169	187
475	169	186
476	169	186
477	169	185
478	170	185
479	170	184
480	170	184
481	170	183
482	170	183
483	171	182
484	171	182
485	171	181
486	171	181
487	172	180
488	172	180
489	172	179
490	173	179
491	173	179
492	173	178
493	173	178
494	174	177
495	174	177
496	174	176
497	175	176
498	175	175
499	175	175
500	175	175
501	176	174
502	176	174
503	176	173
504	176	173
505	176	172
506	177	172
507	177	171
508	177	171
509	177	170
510	178	170
511	178	170
512	178	169
513	178	169
514	179	168
515	179	168
516	179	167
517	179	167
518	180	167
519	180	166
520	180	166
521	181	165
522	181	165
523	181	165
524	181	164
525	182	164
526	182	163
527	182	163
528	182	162
529	183	162
530	183	162
531	183	161
532	183	161
533	184	160
534	184	160
535	184	159
536	184	159
537	185	158
538	185	158
539	185	158
540	185	157
541	186	157
542	186	156
543	186	156
544	186	155
545	187	155
546	187	155
547	187	154
548	187	154
549	188	153
550	188	153
551	188	152
552	188	152
553	188	152
554	189	151
555	189	151
556	189	150
557	189	150
558	190	150
559	190	149
560	190	149
561	190	148
562	191	148
563	191	147
564	191	147
565	191	147
566	191	146
567	192	146
568	192	145
569	192	145
570	193	145
571	193	144
572	193	144
573	193	143
574	194	143
575	194	143
576	194	142
577	194	142
578	195	141
579	195	141
580	195	141
581	196	140
582	196	140
583	196	139
584	196	139
585	196	139
586	197	138
587	197	138
588	197	137
589	197	137
590	198	137
591	198	136
592	198	136
593	198	135
594	198	135
595	199	135
596	199	134
597	199	134
598	200	133
599	200	133
600	200	133
601	200	132
602	201	132
603	201	131
604	201	131
605	201	131
606	201	130
607	202	130
608	202	130
609	202	129
610	202	129
611	203	128
612	203	128
613	203	128
614	204	127
615	204	127
616	204	126
617	204	126
618	205	126
619	205	125
620	205	125
621	205	125
622	206	124
623	206	124
624	206	123
625	206	123
626	207	123
